queue_rank,class_rank,variable_id,class_id,class_label,semantic_folder,value_type,grain,amsterdam_status_bucket,amsterdam_phase,priority_tier,amsterdam_already_public_covered_audit,current_public_card_amsterdam_status,execution_queue,execution_queue_label,build_status,dependency_status,review_status,owner_approval_status,mapping_artifact_status,mapping_approval_status,runtime_status,has_validation_report,has_reproducibility_report,mapping_spec_path,amsterdam_runtime_dirs,queue_reason,next_action,audit_rationale,dictionary_hit_count,dictionary_hit_tables
0,1,std_bicarbonate_bg,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_bicarbonate_bg/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_bicarbonate_bg/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_bicarbonate_bg/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,7,drugitems:4;numericitems:3
0,1,std_bun,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_bun/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_bun/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_bun/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,8,freetextitems:1;numericitems:7
0,1,std_chloride,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_chloride/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_chloride/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_chloride/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,36,drugitems:26;numericitems:10
0,1,std_creatinine,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_creatinine/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_creatinine/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_creatinine/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,15,numericitems:15
0,1,std_dbp,class1_event_level_numeric,Class 1: event-level numeric primary-source,vital_signs,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_dbp/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_dbp/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_dbp/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,10,numericitems:10
0,1,std_glucose,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_glucose/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_glucose/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_glucose/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,20,drugitems:8;numericitems:11;procedureorderitems:1
0,1,std_heart_rate,class1_event_level_numeric,Class 1: event-level numeric primary-source,vital_signs,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,draft_public_mapping_lock,,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_heart_rate/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_heart_rate/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_heart_rate/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,68,drugitems:6;listitems:32;numericitems:30
0,1,std_height,class1_event_level_numeric,Class 1: event-level numeric primary-source,anthropometrics,numeric measurement,patient,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,not_built,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,,,no_amsterdam_runtime,False,False,,,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,0,
0,1,std_hematocrit,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_hematocrit/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_hematocrit/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_hematocrit/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,6,numericitems:6
0,1,std_hemoglobin,class1_event_level_numeric,Class 1: event-level numeric primary-source,laboratory,numeric measurement,event-level measurement,same_name_ready,already_public_covered,0_already_covered,True,reviewed_approved,Q0_already_public_covered,Already public-covered; no new build needed in this campaign,built_runtime_repro_pass,not_applicable_or_already_resolved,prior_public_covered_or_reviewed,owner_approved_or_preexisting_public_covered,reviewed_approved_public_mapping_lock,reviewed_approved,amsterdam_runtime_and_rerun_repro_present,True,True,docs/standard_system_mvp/std_hemoglobin/mapping_spec_amsterdamumcdb_1_0_2.json,docs/standard_system_mvp/std_hemoglobin/runtime/amsterdamumcdb_1_0_2_first_real_execution;docs/standard_system_mvp/std_hemoglobin/runtime/amsterdamumcdb_1_0_2_rerun_repro_check,Already public-covered in Amsterdam under the current public audit/card surface.,no new build in this campaign; retain as upstream evidence when semantically appropriate,Already public-covered for Amsterdam under current governed evidence.,4,numericitems:4
