variable_id,class_id,semantic_folder,standardized_english_name,standard_unit,primary_retained_value_column,approved_value_range_note,q4_lane,q4_batch_construct_status,owner_approval_status,runtime_status_after_this_batch,candidate_hit_count,candidate_hit_tables,candidate_numericitems_hit_count,candidate_preferred_table_hit_count,top_candidate_itemids,top_candidate_labels,source_boundary_caveat,next_action,audit_rationale,queue_reason,public_card_path,source_item_hits_file
std_aado2_calc,class1_event_level_numeric,laboratory,calculated alveolar-arterial oxygen difference event,mmHg,std_aado2_calc_mmhg_cleaned,"[-500.0, 800.0] mmHg",Q4C_class1_long_tail_numeric_dictionary_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,27,drugitems:14;numericitems:12;procedureorderitems:1,12,12,9933;6817;15775;10275;9934;10276;12217;18852;10207;14525,numericitems:9933:Calcium totaal (bloed) | numericitems:6817:Calcium | numericitems:15775:Procalcitonine (bloed) | numericitems:10275:Calcium totaal (urine) | numericitems:9934:CALCIUM (overig),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_aado2_calc.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_albumin_ascites,class1_event_level_numeric,laboratory,Ascites albumin event,g/dL,std_albumin_ascites_g_per_dl_cleaned,"[0.1, 6.0] g/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,7,drugitems:1;numericitems:6,6,6,6801;10116;10382;9975;12241;10384;8933,numericitems:6801:Albumine chemisch | numericitems:10116:Albumine (imm.) (liquor) | numericitems:10382:Micro-albumine (urine) | numericitems:9975:Albumine (imm.) (bloed) | numericitems:12241:Micro-albumine (verz. urine),"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_albumin_ascites.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_albumin_creatinine_ratio_urine,class1_event_level_numeric,laboratory,Urine albumin to creatinine ratio event,mg/g,std_albumin_creatinine_ratio_urine_mg_per_g_cleaned,"[0.0, 10000.0] mg/g",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,62,drugitems:3;freetextitems:1;listitems:17;numericitems:41,41,41,12281;8877;8852;10382;16239;12365;12241;14333;19353;6709,numericitems:12281:Piek druk | numericitems:8877:Peak druk | numericitems:8852:P max | numericitems:10382:Micro-albumine (urine) | numericitems:16239:Zephyros Ppeak,"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_albumin_creatinine_ratio_urine.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_albumin_other_body_fluid,class1_event_level_numeric,laboratory,Other body fluid albumin event,g/dL,std_albumin_other_body_fluid_g_per_dl_cleaned,"[0.0, 6.0] g/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,7,drugitems:1;numericitems:6,6,6,10384;6801;10116;10382;9975;12241;8933,numericitems:10384:Micro-albumine dialysaat (overig) | numericitems:6801:Albumine chemisch | numericitems:10116:Albumine (imm.) (liquor) | numericitems:10382:Micro-albumine (urine) | numericitems:9975:Albumine (imm.) (bloed),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_albumin_other_body_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_albumin_pleural,class1_event_level_numeric,laboratory,Pleural albumin event,g/dL,std_albumin_pleural_g_per_dl_cleaned,"[0.1, 6.0] g/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_modifier_gap,not_owner_approved,not_runtime_constructed,7,drugitems:1;numericitems:6,6,6,6801;10116;10382;9975;12241;10384;8933,numericitems:6801:Albumine chemisch | numericitems:10116:Albumine (imm.) (liquor) | numericitems:10382:Micro-albumine (urine) | numericitems:9975:Albumine (imm.) (bloed) | numericitems:12241:Micro-albumine (verz. urine),"Numericitems candidates exist, but the modifier or specimen boundary is not proven by the current alias scan.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_albumin_pleural.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_albumin_urine,class1_event_level_numeric,laboratory,Urine albumin event,mg/dL,std_albumin_urine_mg_per_dl_cleaned,"[0.0, 2000.0] mg/dL",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,7,drugitems:1;numericitems:6,6,6,10382;12241;6801;10116;9975;10384;8933,numericitems:10382:Micro-albumine (urine) | numericitems:12241:Micro-albumine (verz. urine) | numericitems:6801:Albumine chemisch | numericitems:10116:Albumine (imm.) (liquor) | numericitems:9975:Albumine (imm.) (bloed),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_albumin_urine.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_amylase_ascites,class1_event_level_numeric,laboratory,Ascites amylase event,IU/L,std_amylase_ascites_iu_per_l_cleaned,"[0.0, 200000.0] IU/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,8,numericitems:8,8,8,17979;11986;6845;11987;17980;11988;18849;8922,numericitems:17979:Amylase ascitesvocht (ascitesvocht) | numericitems:11986:Amylase (bloed) | numericitems:6845:Plasma Amylase | numericitems:11987:AMYLASE (overig) | numericitems:17980:Amylase drainvocht (drain),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_amylase_ascites.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_amylase_other_body_fluid,class1_event_level_numeric,laboratory,Other body fluid amylase event,IU/L,std_amylase_other_body_fluid_iu_per_l_cleaned,"[0.0, 1000000.0] IU/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,8,numericitems:8,8,8,11987;17980;17979;18849;11986;6845;11988;8922,numericitems:11987:AMYLASE (overig) | numericitems:17980:Amylase drainvocht (drain) | numericitems:17979:Amylase ascitesvocht (ascitesvocht) | numericitems:18849:Amylase pleuravocht (pleurapunct.) | numericitems:11986:Amylase (bloed),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_amylase_other_body_fluid.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_amylase_pleural,class1_event_level_numeric,laboratory,Pleural amylase event,IU/L,std_amylase_pleural_iu_per_l_cleaned,"[0.0, 50000.0] IU/L",Q4A_class1_specimen_or_body_fluid_numeric_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,8,numericitems:8,8,8,18849;11986;6845;11987;17980;11988;17979;8922,numericitems:18849:Amylase pleuravocht (pleurapunct.) | numericitems:11986:Amylase (bloed) | numericitems:6845:Plasma Amylase | numericitems:11987:AMYLASE (overig) | numericitems:17980:Amylase drainvocht (drain),"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_amylase_pleural.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
std_antithrombin_activity,class1_event_level_numeric,laboratory,Antithrombin activity event,%,std_antithrombin_activity_pct_cleaned,"[1.0, 200.0] %",Q4C_class1_long_tail_numeric_dictionary_candidate,source_candidate_package_built_not_runtime_item_lock_needed,not_owner_approved,not_runtime_constructed,3,numericitems:3,3,3,18843;18618;6767,numericitems:18843:IC NAS score | numericitems:18618:MC NAS score | numericitems:6767:Antithrombine III,"Numericitems source candidates were built; itemids, source units, conversion rules, and specimen boundaries still need variable-level review before runtime construction.","lock retained itemids, source units, conversion factor, duplicate rule, cleaned range, then generate per-variable runtime candidate","Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review.",Source evidence exists but needs bounded source review before approval.,docs/std_variable_cards/std_antithrombin_activity.md,docs/standard_system_mvp/amsterdam_coverage_audit/amsterdam_q4_bounded_candidate_source_item_hits.csv
