variable_id,class_id,semantic_folder,source_itemid,source_table,source_item,source_item_en,source_abbreviation,source_unit,source_ucum_code,dictionary_expected_min_value,dictionary_expected_max_value,dictionary_count,dictionary_count_validated,category,category_en,islabresult,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,matched_aliases,modifier_terms_required,modifier_match,preferred_table_for_class,candidate_fit_category,candidate_score
std_aado2_calc,class1_event_level_numeric,laboratory,9933,numericitems,Calcium totaal (bloed),,Calcium totaal (bloed),mmol/l,mmol/L,nan,nan,140461,140461.0,LAB-Chem-bloed,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,93
std_aado2_calc,class1_event_level_numeric,laboratory,6817,numericitems,Calcium,,CA,mmol/l,mmol/L,nan,nan,5339,5339.0,LAB CHEMIE,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,87
std_aado2_calc,class1_event_level_numeric,laboratory,15775,numericitems,Procalcitonine (bloed),,Procalcitonine (bloed),µg/l,ug/L,nan,nan,1921,1921.0,LAB-Chem-bloed,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,87
std_aado2_calc,class1_event_level_numeric,laboratory,10275,numericitems,Calcium totaal (urine),,Calcium totaal (urine),mmol/l,mmol/L,nan,nan,70,70.0,LAB-Chem-urine,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,81
std_aado2_calc,class1_event_level_numeric,laboratory,9934,numericitems,CALCIUM (overig),,CALCIUM (overig),mmol/l,mmol/L,nan,nan,28,28.0,LAB-Chem-diversen,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,81
std_aado2_calc,class1_event_level_numeric,laboratory,10276,numericitems,CALCIUM (verz. urine),,CALCIUM-vur,mmol/l,mmol/L,nan,nan,22,22.0,LAB-Chem-verz. urine,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,81
std_aado2_calc,class1_event_level_numeric,laboratory,12217,numericitems,Calcium totaal (verz. urine),,Calcium totaal (verz. urine),mmol/24uur,mmol/(24.h),nan,nan,19,19.0,LAB-Chem-verz. urine,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,81
std_aado2_calc,class1_event_level_numeric,laboratory,18852,numericitems,Calcium (dialysaat),,Calcium (dialysaat),mmol/l,mmol/L,nan,nan,11,11.0,LAB-Chem-diversen,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,81
std_aado2_calc,class1_event_level_numeric,laboratory,10207,numericitems,Osteocalcine (bloed),,Osteocalcine (bloed),nmol/l,nmol/L,nan,nan,2,2.0,LAB-Endo-bloed,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,78
std_aado2_calc,class1_event_level_numeric,laboratory,14525,numericitems,Calcitonine (bloed),,Calcitonine (bloed),ng/l,ng/L,nan,nan,2,2.0,LAB-Endo-bloed,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,78
std_aado2_calc,class1_event_level_numeric,laboratory,15565,numericitems,PROCALCITON (bloed),,PROCALCITON-blo,µg/l,ug/L,nan,nan,2,2.0,LAB-Endo-bloed,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,78
std_aado2_calc,class1_event_level_numeric,laboratory,12216,numericitems,CALCIUM      (overig),,CALCIUM      (overig),µmol/24uur,umol/(24.h),nan,nan,1,1.0,LAB-Chem-diversen,,1.0,,,,calc,,True,True,strong_numericitems_modifier_or_unmodified_hit,78
std_aado2_calc,class1_event_level_numeric,laboratory,7412,drugitems,Calcium Glubionaat (Calcium Sandoz),calcium glubionate,CalciumSandoz,,,nan,nan,17832,nan,Medicatie,,nan,ATC,A12AA02,calcium glubionate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,45
std_aado2_calc,class1_event_level_numeric,laboratory,9019,drugitems,Carbasalaatcalcium (Ascal),carbasalate calcium,Carbasalaatcalcium (Ascal),,,nan,nan,15352,nan,Medicatie,,nan,ATC,B01AC08,carbasalate calcium,calc,,True,False,non_numeric_supporting_or_false_positive_hit,45
std_aado2_calc,class1_event_level_numeric,laboratory,18783,drugitems,Calciumgluconaat 10%,calcium gluconate 10%,Calciumgluconaat 10%,,,nan,nan,12415,nan,Medicatie,,nan,ATC,A12AA03,calcium gluconate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,45
std_aado2_calc,class1_event_level_numeric,laboratory,7412,drugitems,Calcium Glubionaat (Calcium Sandoz),calcium glubionate,CalciumSandoz,,,nan,nan,6963,nan,Medicatie,,nan,ATC,A12AA02,calcium glubionate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,9019,drugitems,Carbasalaatcalcium (Ascal),carbasalate calcium,Carbasalaatcalcium (Ascal),,,nan,nan,5035,nan,Medicatie,,nan,ATC,B01AC08,carbasalate calcium,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,7412,drugitems,Calcium Glubionaat (Calcium Sandoz),calcium glubionate,CalciumSandoz,,,nan,nan,2120,nan,Medicatie,,nan,ATC,A12AA02,calcium glubionate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,18783,drugitems,Calciumgluconaat 10%,calcium gluconate 10%,Calciumgluconaat 10%,,,nan,nan,1887,nan,Medicatie,,nan,ATC,A12AA03,calcium gluconate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,9061,drugitems,Colecalciferol (Devaron),,Colecalciferol (Devaron),,,nan,nan,1488,nan,Medicatie,,nan,,,,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,9040,drugitems,Calciumcarbonaat,,Calciumcarbonaat,,,nan,nan,1457,nan,Medicatie,,nan,,,,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,6821,drugitems,Alfacalcidol (Etalpha),,Alfacalcidol,,,nan,nan,1254,nan,Medicatie,,nan,,,,calc,,True,False,non_numeric_supporting_or_false_positive_hit,42
std_aado2_calc,class1_event_level_numeric,laboratory,9019,drugitems,Carbasalaatcalcium (Ascal),carbasalate calcium,Carbasalaatcalcium (Ascal),,,nan,nan,484,nan,Medicatie,,nan,ATC,B01AC08,carbasalate calcium,calc,,True,False,non_numeric_supporting_or_false_positive_hit,39
std_aado2_calc,class1_event_level_numeric,laboratory,6908,drugitems,Carbasalaat Calcium,carbasalate calcium,CarbasalaatCalcium,,,nan,nan,374,nan,Medicatie,,nan,ATC,B01AC08,carbasalate calcium,calc,,True,False,non_numeric_supporting_or_false_positive_hit,39
std_aado2_calc,class1_event_level_numeric,laboratory,19164,drugitems,Calciumgluconaat,calcium gluconate,Calciumgluconaat,,,nan,nan,229,nan,Medicatie,,nan,ATC,A12AA03,calcium gluconate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,39
std_aado2_calc,class1_event_level_numeric,laboratory,7412,drugitems,Calcium Glubionaat (Calcium Sandoz),calcium glubionate,CalciumSandoz,,,nan,nan,126,nan,Medicatie,,nan,ATC,A12AA02,calcium glubionate,calc,,True,False,non_numeric_supporting_or_false_positive_hit,39
